Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-04-16,75.8,77.6,75.0,76.35,76.51,1077640.0,3286.0,82453918.0,,,2.6,0.55
2021-04-15,75.0,77.15,74.1,75.9,75.49,748379.0,1828.0,56497653.0,111795.0,14.94,3.05,0.9
2021-04-13,70.5,77.85,70.5,77.0,74.79,2474165.0,6475.0,185041719.0,633718.0,25.61,7.35,6.5
2021-04-12,72.1,76.0,70.35,71.25,72.4,2809812.0,12299.0,203439236.0,832171.0,29.62,5.65,-0.85
2021-04-09,78.0,79.35,77.15,77.9,78.34,1135611.0,3148.0,88958904.0,256536.0,22.59,2.2,-0.1
2021-04-08,79.6,80.3,77.55,77.85,79.11,682171.0,1741.0,53964495.0,174085.0,25.52,2.75,-1.75
2021-04-07,77.0,79.65,76.35,79.0,78.36,1286157.0,4290.0,100779897.0,425074.0,33.05,3.3,2.0
2021-04-06,76.6,77.9,75.75,76.85,77.12,926180.0,3083.0,71422611.0,248913.0,26.88,2.15,0.25
2021-04-05,79.0,79.0,74.4,76.45,75.92,1076278.0,2377.0,81709348.0,140429.0,13.05,4.6,-2.55
2021-04-01,76.7,79.4,76.35,78.85,77.68,816629.0,1852.0,63438333.0,153557.0,18.8,3.05,2.15
2021-03-31,75.9,77.1,75.4,75.75,76.06,910835.0,3079.0,69277764.0,228147.0,25.05,1.7,-0.15
2021-03-30,77.5,78.2,75.6,75.85,76.7,690247.0,1724.0,52943837.0,141703.0,20.53,2.6,-1.65
2021-03-26,77.0,78.25,76.1,76.75,77.03,997621.0,3215.0,76847371.0,263034.0,26.37,2.15,-0.25
2021-03-25,75.9,77.35,72.65,76.35,74.67,1359715.0,2835.0,101531034.0,205216.0,15.09,4.7,0.45
2021-03-24,78.3,78.3,75.1,75.65,76.62,670775.0,1851.0,51397610.0,126883.0,18.92,3.2,-2.65
2021-03-23,77.2,79.55,77.2,78.2,78.24,1271951.0,3484.0,99521638.0,494652.0,38.89,2.35,1.0
2021-03-22,77.9,78.5,76.65,77.2,77.46,1076027.0,4415.0,83351229.0,252981.0,23.51,1.85,-0.7
2021-03-19,77.85,79.5,74.45,77.9,77.65,1418976.0,3327.0,110186387.0,205955.0,14.51,5.05,0.05
2021-03-18,81.4,82.1,76.75,77.65,79.59,1328042.0,2755.0,105692926.0,293717.0,22.12,5.35,-3.75
2021-03-17,84.0,84.0,79.65,80.15,81.46,1228308.0,6393.0,100061823.0,372272.0,30.31,4.35,-3.85
2021-03-16,83.95,84.85,82.5,83.6,83.72,1170259.0,3538.0,97975213.0,242688.0,20.74,2.35,-0.35
2021-03-15,85.35,85.6,81.3,83.75,82.65,1898279.0,7640.0,156900290.0,437496.0,23.05,4.3,-1.6
2021-03-12,87.45,87.7,84.45,85.25,86.19,661125.0,1775.0,56985377.0,132004.0,19.97,3.25,-2.2
2021-03-10,86.5,87.2,84.95,86.1,85.83,949087.0,1545.0,81462682.0,321437.0,33.87,2.25,-0.4
